╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
   2825 | -7.554387e-03 | 9.911107e-05 | -7.653498e-03 |  0.9976 |     0.6495 |    7.1% |  2.37e-05
   2850 | -7.554458e-03 | 9.904090e-05 | -7.653499e-03 |  0.9976 |     0.6495 |    7.1% |  2.08e-05
   2875 | -7.554336e-03 | 9.916320e-05 | -7.653499e-03 |  0.9976 |     0.6495 |    7.1% |  1.83e-05
   2900 | -7.554372e-03 | 9.912867e-05 | -7.653501e-03 |  0.9976 |     0.6495 |    7.1% |  1.61e-05
   2925 | -7.554389e-03 | 9.911207e-05 | -7.653501e-03 |  0.9976 |     0.6495 |    7.1% |  1.42e-05
   2950 | -7.554242e-03 | 9.925997e-05 | -7.653502e-03 |  0.9976 |     0.6495 |    7.1% |  1.27e-05
   2975 | -7.554145e-03 | 9.935770e-05 | -7.653503e-03 |  0.9976 |     0.6495 |    7.1% |  1.15e-05
   3000 | -7.554274e-03 | 9.922881e-05 | -7.653503e-03 |  0.9976 |     0.6495 |    7.1% |  1.07e-05

  ======================================================================
  ✅ BONE COMPLETE
  Best error: 7.08% (epoch 3000) | Best loss: -7.554908e-03 (epoch 1526)
  Tip displacement: 0.6495 mm (expected: 0.6990 mm)
  Relative error: 7.08%
  J range: [0.997590, 1.002379]
  Training time: 102.3s (1.7min)
  ======================================================================

