╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
   2700 | -5.127532e+01 | -5.126670e+01 | -8.625397e-03 |  0.9673 |     4.5961 |  557.6% |  4.29e-05
   2725 | -5.127532e+01 | -5.126669e+01 | -8.627667e-03 |  0.9672 |     4.6050 |  558.8% |  3.84e-05
   2750 | -5.127532e+01 | -5.126669e+01 | -8.629717e-03 |  0.9672 |     4.6130 |  560.0% |  3.42e-05
   2775 | -5.127533e+01 | -5.126670e+01 | -8.631558e-03 |  0.9671 |     4.6202 |  561.0% |  3.04e-05
   2800 | -5.127533e+01 | -5.126670e+01 | -8.633208e-03 |  0.9671 |     4.6266 |  561.9% |  2.69e-05
   2825 | -5.127533e+01 | -5.126669e+01 | -8.634681e-03 |  0.9670 |     4.6324 |  562.8% |  2.37e-05
   2850 | -5.127533e+01 | -5.126670e+01 | -8.635992e-03 |  0.9670 |     4.6375 |  563.5% |  2.08e-05
   2875 | -5.127533e+01 | -5.126669e+01 | -8.637154e-03 |  0.9670 |     4.6420 |  564.1% |  1.83e-05
   2900 | -5.127533e+01 | -5.126669e+01 | -8.638190e-03 |  0.9669 |     4.6461 |  564.7% |  1.61e-05
   2925 | -5.127533e+01 | -5.126669e+01 | -8.639112e-03 |  0.9669 |     4.6497 |  565.2% |  1.42e-05
   2950 | -5.127532e+01 | -5.126668e+01 | -8.639939e-03 |  0.9669 |     4.6529 |  565.7% |  1.27e-05
   2975 | -5.127533e+01 | -5.126669e+01 | -8.640692e-03 |  0.9669 |     4.6558 |  566.1% |  1.15e-05
