╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: KIDNEY (MGN-baseline) | E=10000 Pa (10.0 kPa) | ν=0.45
  Beam: 3cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cuda | Epochs: 3000
  Expected tip δ: 3.1288 mm | Scale: 3.13e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   2725 | -3.920057e-03 | -2.002195e-03 | -1.917861e-03 |  0.4865 |    13.4148 |  1.43e-04
   2750 | -3.921192e-03 | -2.000382e-03 | -1.920810e-03 |  0.4826 |    13.4853 |  1.30e-04
   2775 | -3.922182e-03 | -1.998742e-03 | -1.923440e-03 |  0.4791 |    13.5480 |  1.18e-04
   2800 | -3.923047e-03 | -1.997264e-03 | -1.925783e-03 |  0.4761 |    13.6036 |  1.06e-04
   2825 | -3.923804e-03 | -1.995937e-03 | -1.927868e-03 |  0.4735 |    13.6529 |  9.56e-05
   2850 | -3.924470e-03 | -1.994744e-03 | -1.929726e-03 |  0.4711 |    13.6968 |  8.62e-05
   2875 | -3.925057e-03 | -1.993673e-03 | -1.931384e-03 |  0.4691 |    13.7359 |  7.78e-05
   2900 | -3.925578e-03 | -1.992708e-03 | -1.932870e-03 |  0.4672 |    13.7708 |  7.05e-05
   2925 | -3.926042e-03 | -1.991832e-03 | -1.934210e-03 |  0.4655 |    13.8022 |  6.42e-05
   2950 | -3.926461e-03 | -1.991033e-03 | -1.935428e-03 |  0.4640 |    13.8308 |  5.91e-05
   2975 | -3.926844e-03 | -1.990294e-03 | -1.936551e-03 |  0.4627 |    13.8571 |  5.51e-05
   3000 | -3.927200e-03 | -1.989600e-03 | -1.937600e-03 |  0.4614 |    13.8816 |  5.23e-05

  ======================================================================
  ✅ KIDNEY (MGN-baseline) COMPLETE
  Best loss: -3.927200e-03 (epoch 3000)
  Tip: 13.8825 mm (expected: 3.1288 mm)  Err: 343.71%
  Training time: 114.1s (1.9min)
  ======================================================================

