╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BONE (MGN-baseline) | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1750 | -7.545078e-03 | 9.035796e-05 | -7.635436e-03 |  0.9980 |     0.5906 |  6.40e-05
   1775 | -7.545140e-03 | 9.030246e-05 | -7.635443e-03 |  0.9980 |     0.5906 |  5.55e-05
   1800 | -7.545119e-03 | 9.032989e-05 | -7.635449e-03 |  0.9980 |     0.5906 |  4.77e-05
   1825 | -7.544794e-03 | 9.066007e-05 | -7.635454e-03 |  0.9980 |     0.5906 |  4.06e-05
   1850 | -7.545134e-03 | 9.032403e-05 | -7.635457e-03 |  0.9980 |     0.5907 |  3.42e-05
   1875 | -7.545136e-03 | 9.032512e-05 | -7.635461e-03 |  0.9980 |     0.5907 |  2.86e-05
   1900 | -7.544936e-03 | 9.052683e-05 | -7.635463e-03 |  0.9980 |     0.5907 |  2.37e-05
   1925 | -7.545270e-03 | 9.019604e-05 | -7.635466e-03 |  0.9980 |     0.5907 |  1.95e-05
   1950 | -7.545450e-03 | 9.001864e-05 | -7.635469e-03 |  0.9980 |     0.5907 |  1.61e-05
   1975 | -7.545426e-03 | 9.004433e-05 | -7.635470e-03 |  0.9980 |     0.5907 |  1.34e-05
   2000 | -7.544938e-03 | 9.053432e-05 | -7.635472e-03 |  0.9980 |     0.5907 |  1.15e-05

  ======================================================================
  ✅ BONE (MGN-baseline) COMPLETE
  Best loss: -7.545958e-03 (epoch 1383)
  Tip: 0.5899 mm (expected: 0.6990 mm)  Err: 15.60%
  Training time: 70.0s (1.2min)
  ======================================================================

